bvets vehicle performance table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P10P11,P11P12,P12,P13,1,2,3,4,5,6,7,8,9,10,11,12,WF60,1,2,3,4,5,6,7,8,9,WF40,1,2,3,4,5,6,7,8,9,10,11,12,WF10
88,1524,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,5765,6475,7186,7896,8607,9317,10028,10738,11449,12159,12869,13580,14290,15001,15184,15367,15551,15734,15918,16101,16284,16468,16651,16834,16976,17117,17259,17401,17542,17684,17825,17967,18108,18250,18391,18533,18674
89,1496,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,5582,6285,6987,7689,8392,9094,9796,10499,11201,11903,12605,13308,14010,14712,14882,15052,15222,15392,15562,15732,15902,16072,16242,16412,16543,16674,16805,16936,17068,17199,17330,17461,17592,17723,17854,17985,18116
90,1469,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,5405,6100,6795,7489,8184,8878,9573,10267,10962,11656,12351,13046,13740,14435,14592,14749,14906,15063,15220,15377,15534,15691,15848,16005,16126,16248,16369,16490,16611,16733,16854,16975,17096,17217,17339,17460,17581
91,1442,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,5234,5921,6608,7295,7983,8670,9357,10044,10731,11418,12105,12793,13480,14167,14311,14456,14601,14745,14890,15035,15179,15324,15469,15613,15725,15837,15949,16061,16172,16284,16396,16508,16620,16731,16843,16955,17067
92,1415,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,5068,5748,6428,7108,7788,8468,9148,9828,10508,11188,11868,12548,13228,13908,14041,14174,14307,14439,14572,14705,14838,14970,15103,15236,15339,15441,15544,15647,15750,15853,15955,16058,16161,16264,16367,16469,16572
93,1388,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4907,5580,6253,6926,7600,8273,8946,9619,10293,10966,11639,12312,12986,13659,13780,13901,14023,14144,14265,14387,14508,14629,14750,14872,14966,15060,15154,15249,15343,15437,15531,15625,15720,15814,15908,16002,16097
94,1363,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4750,5417,6084,6750,7417,8084,8751,9417,10084,10751,11418,12084,12751,13418,13528,13638,13749,13859,13969,14079,14189,14300,14410,14520,14606,14692,14778,14864,14950,15036,15122,15208,15294,15381,15467,15553,15639
95,1337,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4598,5259,5919,6580,7240,7901,8561,9222,9882,10543,11203,11864,12524,13185,13285,13384,13484,13583,13683,13782,13882,13982,14081,14181,14259,14337,14415,14494,14572,14650,14728,14806,14885,14963,15041,15119,15198
96,1312,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4451,5105,5760,6414,7069,7723,8378,9032,9687,10342,10996,11651,12305,12960,13049,13138,13228,13317,13406,13496,13585,13674,13763,13853,13923,13994,14065,14136,14206,14277,14348,14419,14489,14560,14631,14702,14772
97,1287,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4307,4956,5605,6254,6903,7551,8200,8849,9498,10147,10795,11444,12093,12742,12821,12900,12980,13059,13139,13218,13297,13377,13456,13536,13599,13663,13726,13790,13854,13917,13981,14044,14108,14172,14235,14299,14362
98,1263,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4168,4811,5455,6098,6741,7384,8028,8671,9314,9958,10601,11244,11887,12531,12601,12670,12740,12810,12880,12950,13019,13089,13159,13229,13286,13342,13399,13456,13513,13569,13626,13683,13740,13797,13853,13910,13967
99,1239,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,4033,4670,5308,5946,6584,7222,7860,8498,9136,9774,10412,11050,11688,12326,12387,12447,12508,12569,12629,12690,12750,12811,12871,12932,12982,13032,13083,13133,13183,13233,13284,13334,13384,13434,13484,13535,13585
100,1215,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3901,4534,5166,5799,6432,7065,7698,8331,8964,9597,10230,10862,11495,12128,12180,12232,12283,12335,12386,12438,12490,12541,12593,12645,12689,12732,12776,12820,12864,12908,12952,12996,13040,13084,13128,13172,13216
101,1192,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3772,4400,5028,5656,6284,6912,7540,8168,8796,9424,10052,10680,11308,11936,11979,12022,12065,12108,12151,12194,12237,12280,12323,12366,12404,12442,12480,12518,12556,12594,12631,12669,12707,12745,12783,12821,12859
102,1169,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3648,4271,4894,5517,6141,6764,7387,8010,8634,9257,9880,10503,11127,11750,11785,11819,11854,11888,11923,11958,11992,12027,12062,12096,12128,12161,12193,12225,12257,12289,12321,12353,12385,12417,12450,12482,12514
103,1146,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3526,4145,4763,5382,6001,6619,7238,7857,8476,9094,9713,10332,10950,11569,11596,11622,11649,11675,11702,11728,11755,11782,11808,11835,11861,11888,11914,11941,11967,11994,12021,12047,12074,12100,12127,12153,12180
104,1124,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3407,4022,4636,5250,5865,6479,7093,7708,8322,8936,9551,10165,10779,11394,11412,11431,11450,11469,11487,11506,11525,11543,11562,11581,11602,11623,11644,11666,11687,11708,11729,11751,11772,11793,11814,11835,11857
105,1102,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3292,3902,4512,5122,5732,6342,6953,7563,8173,8783,9393,10003,10613,11223,11234,11246,11257,11268,11279,11290,11301,11312,11323,11334,11350,11367,11383,11399,11415,11431,11447,11463,11479,11495,11511,11528,11544
106,1080,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3179,3785,4391,4997,5603,6210,6816,7422,8028,8634,9240,9846,10452,11058,11061,11065,11069,11073,11076,11080,11084,11088,11091,11095,11106,11117,11129,11140,11151,11162,11173,11184,11196,11207,11218,11229,11240
107,1059,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,3070,3672,4274,4876,5478,6080,6682,7284,7886,8488,9091,9693,10295,10897,10893,10890,10887,10883,10880,10876,10873,10870,10866,10863,10869,10876,10882,10888,10895,10901,10908,10914,10921,10927,10933,10940,10946
108,1038,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2963,3561,4159,4757,5356,5954,6552,7151,7749,8347,8945,9544,10142,10740,10730,10720,10709,10699,10689,10678,10668,10658,10647,10637,10639,10641,10642,10644,10646,10648,10650,10652,10654,10655,10657,10659,10661
109,1017,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2858,3453,4047,4642,5236,5831,6426,7020,7615,8210,8804,9399,9993,10588,10571,10554,10537,10520,10503,10486,10469,10452,10434,10417,10415,10412,10410,10407,10405,10402,10400,10397,10394,10392,10389,10387,10384
110,997,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2756,3347,3938,4529,5120,5711,6302,6894,7485,8076,8667,9258,9849,10440,10416,10393,10369,10346,10322,10298,10275,10251,10228,10204,10197,10190,10184,10177,10170,10163,10156,10150,10143,10136,10129,10122,10116
111,976,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2656,3244,3832,4419,5007,5595,6182,6770,7358,7945,8533,9120,9708,10296,10266,10236,10206,10176,10146,10116,10086,10056,10026,9996,9985,9974,9964,9953,9942,9931,9920,9909,9898,9887,9877,9866,9855
112,956,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2559,3144,3728,4312,4896,5481,6065,6649,7234,7818,8402,8987,9571,10155,10119,10083,10047,10011,9975,9939,9902,9866,9830,9794,9779,9764,9750,9735,9720,9705,9690,9675,9661,9646,9631,9616,9601
113,937,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2464,3045,3626,4208,4789,5370,5951,6532,7113,7694,8275,8856,9437,10019,9976,9934,9892,9850,9808,9766,9724,9682,9639,9597,9579,9560,9541,9523,9504,9485,9467,9448,9430,9411,9392,9374,9355
114,917,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2371,2949,3527,4105,4683,5261,5839,6417,6995,7573,8151,8729,9307,9885,9837,9789,9741,9693,9645,9597,9550,9502,9454,9406,9383,9361,9339,9316,9294,9272,9249,9227,9205,9183,9160,9138,9116
115,898,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2290,2865,3439,4014,4589,5163,5738,6312,6887,7462,8036,8611,9185,9760,9706,9652,9598,9545,9491,9437,9383,9329,9276,9222,9196,9170,9143,9117,9091,9065,9039,9013,8987,8961,8935,8909,8883
116,879,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2290,2858,3426,3995,4563,5131,5699,6267,6835,7403,7971,8539,9107,9675,9614,9553,9492,9431,9370,9309,9248,9187,9126,9065,9033,9002,8970,8939,8908,8876,8845,8813,8782,8750,8719,8688,8656
117,861,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2290,2852,3414,3976,4537,5099,5661,6222,6784,7346,7908,8469,9031,9593,9525,9457,9389,9320,9252,9184,9116,9048,8980,8912,8875,8838,8802,8765,8729,8692,8655,8619,8582,8546,8509,8472,8436
118,842,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2290,2846,3401,3957,4512,5068,5624,6179,6735,7290,7846,8401,8957,9512,9437,9362,9287,9212,9137,9062,8987,8912,8837,8762,8721,8679,8638,8596,8554,8513,8471,8429,8388,8346,8304,8263,8221
119,824,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2290,2840,3389,3939,4488,5038,5587,6137,6686,7236,7785,8335,8884,9434,9352,9270,9189,9107,9025,8944,8862,8780,8699,8617,8570,8524,8477,8431,8384,8338,8291,8245,8198,8152,8105,8058,8012
120,806,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,8924,2290,2834,3378,3921,4465,5008,5552,6095,6639,7183,7726,8270,8813,9357,9269,9181,9092,9004,8916,8828,8739,8651,8563,8475,8423,8372,8321,8270,8218,8167,8116,8065,8013,7962,7911,7860,7808
